datetime,open,high,low,close,volume,quote_volume
2025-09-21 08:20:00,2.9925,2.9928,2.9911,2.9915,94794.0,283598.95213
2025-09-21 08:25:00,2.9915,2.9923,2.99,2.9907,86336.1,258215.1618
2025-09-21 08:30:00,2.9908,2.9917,2.9899,2.9902,58293.5,174332.0157
2025-09-21 08:35:00,2.9902,2.9925,2.9901,2.9912,74832.0,223845.34875
2025-09-21 08:40:00,2.9912,2.9924,2.9911,2.9923,60159.2,179975.99706
2025-09-21 08:45:00,2.9922,2.9925,2.9912,2.9919,78745.7,235601.73508
2025-09-21 08:50:00,2.9919,2.9924,2.9913,2.992,76241.8,228102.23437
2025-09-21 08:55:00,2.9919,2.9919,2.9899,2.9909,102238.3,305781.56697
2025-09-21 09:00:00,2.9909,2.9928,2.9898,2.9899,48124.3,143958.9939
2025-09-21 09:05:00,2.9898,2.9913,2.9889,2.9895,92276.9,275908.2671
2025-09-21 09:10:00,2.9895,2.9895,2.9845,2.9846,180802.8,540033.53048
2025-09-21 09:15:00,2.9847,2.985,2.9795,2.9803,182255.3,543416.86772
2025-09-21 09:20:00,2.9802,2.9812,2.9791,2.9791,107394.1,320034.23717
2025-09-21 09:25:00,2.979,2.9791,2.9691,2.9705,671639.3,1996075.8584
2025-09-21 09:30:00,2.9705,2.9708,2.9618,2.9668,958244.1,2841833.88184
2025-09-21 09:35:00,2.9669,2.9676,2.9628,2.9647,472245.8,1400024.10969
2025-09-21 09:40:00,2.9647,2.9726,2.964,2.9717,255710.2,758930.10033
2025-09-21 09:45:00,2.9716,2.9752,2.9677,2.9752,354219.8,1052911.6888
2025-09-21 09:50:00,2.9752,2.9781,2.9744,2.9749,256381.3,763162.48335
2025-09-21 09:55:00,2.9749,2.9805,2.9739,2.9789,189288.0,563706.83945
2025-09-21 10:00:00,2.9788,2.9805,2.9768,2.9793,131595.3,391944.25677
2025-09-21 10:05:00,2.9793,2.9802,2.9751,2.9767,127724.5,380341.35926
2025-09-21 10:10:00,2.9767,2.9791,2.9767,2.9772,62593.1,186406.64114
2025-09-21 10:15:00,2.9771,2.9771,2.9726,2.9733,165182.3,491402.207
2025-09-21 10:20:00,2.9733,2.9775,2.9727,2.9775,77981.8,231981.37061
2025-09-21 10:25:00,2.9775,2.978,2.9753,2.9755,95960.8,285614.88019
2025-09-21 10:30:00,2.9754,2.9763,2.9743,2.9756,60852.3,181068.26421
2025-09-21 10:35:00,2.9756,2.9777,2.9745,2.9766,168411.2,501216.87628
2025-09-21 10:40:00,2.9766,2.9769,2.9735,2.9735,37554.6,111746.13648
2025-09-21 10:45:00,2.9736,2.9738,2.969,2.9697,218997.1,650595.00475
2025-09-21 10:50:00,2.9697,2.9721,2.9697,2.9704,99979.1,297014.94291
2025-09-21 10:55:00,2.9705,2.9706,2.9679,2.9681,99065.7,294081.20639
2025-09-21 11:00:00,2.9682,2.9715,2.9669,2.9715,139993.7,415661.6977
2025-09-21 11:05:00,2.9715,2.9767,2.9709,2.9733,79733.9,237192.00724
2025-09-21 11:10:00,2.9734,2.9782,2.9733,2.9768,137228.8,408304.97711
2025-09-21 11:15:00,2.9767,2.9771,2.9736,2.974,77193.9,229689.01119
2025-09-21 11:20:00,2.974,2.9759,2.9733,2.9759,97528.3,290093.62548
2025-09-21 11:25:00,2.976,2.9776,2.9756,2.9769,168734.2,502320.4734
2025-09-21 11:30:00,2.9768,2.9781,2.9753,2.9757,72170.9,214835.65026
2025-09-21 11:35:00,2.9757,2.9796,2.9749,2.9796,42360.9,126139.40634
2025-09-21 11:40:00,2.9796,2.9815,2.979,2.9792,150352.5,448106.03042
2025-09-21 11:45:00,2.9792,2.9797,2.9767,2.9774,76544.5,227971.44413
2025-09-21 11:50:00,2.9773,2.9773,2.9738,2.9763,83319.6,247909.48249
2025-09-21 11:55:00,2.9762,2.9763,2.9741,2.9751,130788.4,389110.10965
2025-09-21 12:00:00,2.9751,2.9798,2.9731,2.9797,259736.8,772639.62431
2025-09-21 12:05:00,2.9798,2.9835,2.9796,2.9823,197829.5,589843.6063
2025-09-21 12:10:00,2.9824,2.9835,2.9816,2.9828,180049.1,537000.58665
2025-09-21 12:15:00,2.9827,2.9857,2.9822,2.9847,106220.1,316947.5423
2025-09-21 12:20:00,2.9846,2.9854,2.9817,2.9819,96478.4,287895.67649
2025-09-21 12:25:00,2.982,2.9834,2.9818,2.9828,41499.0,123779.32364
2025-09-21 12:30:00,2.9829,2.9857,2.9828,2.9855,55734.5,166338.7323
2025-09-21 12:35:00,2.9856,2.9865,2.9829,2.9833,105487.3,314900.55995
2025-09-21 12:40:00,2.9833,2.9833,2.9797,2.9805,95723.3,285330.12305
2025-09-21 12:45:00,2.9805,2.9805,2.9775,2.98,80690.2,240391.95914
2025-09-21 12:50:00,2.98,2.9828,2.9794,2.9794,87850.0,261883.07315
2025-09-21 12:55:00,2.9795,2.9807,2.979,2.9791,51008.3,151987.2433
2025-09-21 13:00:00,2.979,2.9815,2.9777,2.9815,55359.3,164957.55718
2025-09-21 13:05:00,2.9816,2.985,2.9816,2.9831,146976.2,438539.21762
2025-09-21 13:10:00,2.9831,2.9831,2.9809,2.9821,38277.4,114152.75452
2025-09-21 13:15:00,2.9822,2.9833,2.9807,2.9808,70781.9,211091.03477
2025-09-21 13:20:00,2.9808,2.9841,2.9807,2.9832,63901.5,190627.93417
2025-09-21 13:25:00,2.9831,2.9845,2.9815,2.9844,78857.5,235261.52279
2025-09-21 13:30:00,2.9845,2.9873,2.9844,2.9862,135087.7,403361.73376
