trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
0,short,2026-02-18 11:00:00,1.4657068,2026-02-18 15:00:00,1.480363868,SL,4,-100.0,4.0,-104.0,-1.04
1,long,2026-02-20 01:00:00,1.425285,2026-02-20 03:00:00,1.4110321499999998,SL,2,-98.96,3.9584,-102.9184,-1.04
2,short,2026-02-21 23:00:00,1.429714,2026-02-22 11:00:00,1.423,TIME,12,45.9887,3.9172,42.0715,0.4296
3,short,2026-02-23 17:00:00,1.3637272,2026-02-24 05:00:00,1.331,TIME,12,236.0274,3.9341,232.0934,2.3598
4,short,2026-02-26 09:00:00,1.4517096,2026-02-26 21:00:00,1.395,TIME,12,393.267,4.0269,389.2401,3.8664
5,long,2026-02-27 07:00:00,1.4172834,2026-02-27 10:00:00,1.403110566,SL,3,-104.5649,4.1826,-108.7475,-1.04
6,long,2026-02-28 18:00:00,1.3432686,2026-03-01 01:00:00,1.4104320300000002,TP,7,517.387,4.1391,513.2479,4.96
7,short,2026-03-01 11:00:00,1.3757248,2026-03-01 13:00:00,1.389482048,SL,2,-108.6099,4.3444,-112.9543,-1.04
8,long,2026-03-02 04:00:00,1.3672734,2026-03-02 06:00:00,1.353600666,SL,2,-107.4803,4.2992,-111.7795,-1.04
9,short,2026-03-03 04:00:00,1.3657268000000002,2026-03-03 16:00:00,1.3793840680000002,SL,12,-106.3625,4.2545,-110.617,-1.04
10,short,2026-03-03 21:00:00,1.3557288,2026-03-04 01:00:00,1.3692860880000002,SL,4,-105.2564,4.2103,-109.4666,-1.04
11,short,2026-03-05 03:00:00,1.419716,2026-03-05 10:00:00,1.43391316,SL,7,-104.1617,4.1665,-108.3282,-1.04
12,short,2026-03-05 16:00:00,1.4117176,2026-03-06 04:00:00,1.399,TIME,12,92.8592,4.1231,88.7361,0.8609
13,long,2026-03-07 12:00:00,1.3642728000000002,2026-03-07 19:00:00,1.3506300720000002,SL,7,-103.9658,4.1586,-108.1244,-1.04
14,long,2026-03-08 09:00:00,1.3612722,2026-03-08 12:00:00,1.347659478,SL,3,-102.8845,4.1154,-106.9999,-1.04
15,long,2026-03-09 06:00:00,1.345269,2026-03-09 18:00:00,1.361,TIME,12,119.0576,4.0726,114.985,1.1294
16,short,2026-03-10 20:00:00,1.389722,2026-03-11 08:00:00,1.376,TIME,12,101.6662,4.1186,97.5476,0.9474
17,long,2026-03-11 14:00:00,1.3922784,2026-03-11 15:00:00,1.378355616,SL,1,-103.9399,4.1576,-108.0975,-1.04
18,short,2026-03-12 01:00:00,1.3787242,2026-03-12 11:00:00,1.392511442,SL,10,-102.8589,4.1144,-106.9732,-1.04
19,long,2026-03-13 00:00:00,1.4072814,2026-03-13 12:00:00,1.434,TIME,12,193.2566,4.0716,189.185,1.8586
20,long,2026-03-14 22:00:00,1.3972794,2026-03-15 10:00:00,1.417,TIME,12,146.3309,4.1472,142.1837,1.3714
21,short,2026-03-15 20:00:00,1.4177164,2026-03-15 22:00:00,1.431893564,SL,2,-105.1028,4.2041,-109.307,-1.04
22,short,2026-03-17 07:00:00,1.529694,2026-03-17 17:00:00,1.531,SIGNAL,10,-8.88,4.1604,-13.0404,-0.1254
23,short,2026-03-18 01:00:00,1.5156968,2026-03-18 02:00:00,1.530853768,SL,1,-103.8794,4.1552,-108.0345,-1.04
24,short,2026-03-18 08:00:00,1.5226954,2026-03-18 14:00:00,1.4465606299999998,TP,6,513.9951,4.112,509.8831,4.96
25,long,2026-03-19 07:00:00,1.4612922000000002,2026-03-19 12:00:00,1.4466792780000002,SL,5,-107.8978,4.3159,-112.2138,-1.04
26,long,2026-03-20 01:00:00,1.4572914000000001,2026-03-20 07:00:00,1.444,SIGNAL,6,-97.3861,4.271,-101.6571,-0.9521
