trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
0,long,2026-02-19 18:25:00,1.41108216,2026-02-20 02:25:00,1.4203,TIME,96,65.3246,4.0,61.3246,0.6132
1,short,2026-02-20 21:00:00,1.4192161,2026-02-20 22:25:00,1.4269,SIGNAL,17,-54.4739,4.0245,-58.4984,-0.5814
2,short,2026-02-21 01:00:00,1.4252149,2026-02-21 01:05:00,1.427,SIGNAL,1,-12.5287,4.0011,-16.5298,-0.1653
3,short,2026-02-21 04:10:00,1.4262147,2026-02-21 05:00:00,1.4293,SIGNAL,10,-21.6031,3.9945,-25.5977,-0.2563
4,short,2026-02-21 20:05:00,1.44081178,2026-02-22 04:05:00,1.4247,TIME,96,111.3848,3.9843,107.4006,1.0782
5,long,2026-02-24 11:40:00,1.3317663,2026-02-24 19:40:00,1.3549,TIME,96,174.8898,4.0272,170.8626,1.6971
6,long,2026-02-24 22:05:00,1.35737142,2026-02-25 01:20:00,1.3980925626,TP,39,307.1689,4.0956,303.0733,2.96
7,short,2026-02-26 11:30:00,1.4404118600000002,2026-02-26 16:45:00,1.3971995042000003,TP,63,316.2611,4.2168,312.0442,2.96
8,short,2026-02-27 00:35:00,1.3957207999999999,2026-02-27 08:10:00,1.4236352159999999,SL,91,-217.0816,4.3416,-221.4232,-2.04
9,long,2026-03-03 12:30:00,1.35887172,2026-03-03 20:30:00,1.3576,TIME,96,-9.9507,4.2531,-14.2038,-0.1336
10,long,2026-03-03 23:00:00,1.36257246,2026-03-04 07:00:00,1.3597,TIME,96,-22.3849,4.2474,-26.6323,-0.2508
11,short,2026-03-05 13:50:00,1.42881418,2026-03-05 20:20:00,1.4174,SIGNAL,78,84.6135,4.2367,80.3768,0.7589
12,short,2026-03-05 21:50:00,1.40351924,2026-03-06 02:00:00,1.41,SIGNAL,50,-49.2789,4.2689,-53.5478,-0.5018
13,short,2026-03-06 03:40:00,1.4059187599999998,2026-03-06 10:35:00,1.4046,SIGNAL,83,9.9604,4.2475,5.7129,0.0538
14,short,2026-03-06 11:25:00,1.40081978,2026-03-06 14:35:00,1.3587951865999999,TP,38,318.7309,4.2497,314.4811,2.96
15,short,2026-03-07 04:15:00,1.36452704,2026-03-07 12:15:00,1.3662,TIME,96,-13.4114,4.3755,-17.787,-0.1626
16,long,2026-03-07 17:55:00,1.36087212,2026-03-08 01:55:00,1.3571,TIME,96,-30.2714,4.3684,-34.6398,-0.3172
17,long,2026-03-08 06:00:00,1.3547709000000001,2026-03-08 06:30:00,1.3501,SIGNAL,6,-37.5336,4.3546,-41.8881,-0.3848
18,long,2026-03-08 07:00:00,1.35517098,2026-03-08 15:00:00,1.3491,TIME,96,-48.582,4.3378,-52.9198,-0.488
19,short,2026-03-08 22:00:00,1.32533488,2026-03-09 00:15:00,1.3518415776000001,SL,27,-215.8322,4.3166,-220.1488,-2.04
20,short,2026-03-09 02:15:00,1.34003194,2026-03-09 10:15:00,1.3534,TIME,96,-105.4601,4.2286,-109.6887,-1.0376
21,long,2026-03-09 11:55:00,1.35047004,2026-03-09 19:55:00,1.3729,TIME,96,173.7596,4.1847,169.5749,1.6209
22,short,2026-03-11 05:40:00,1.37732448,2026-03-11 13:30:00,1.4048709696,SL,94,-212.6269,4.2525,-216.8795,-2.04
23,short,2026-03-11 16:00:00,1.38132368,2026-03-11 16:55:00,1.3873,SIGNAL,11,-45.0584,4.1658,-49.2241,-0.4727
24,long,2026-03-12 17:50:00,1.38117618,2026-03-12 17:55:00,1.3801,SIGNAL,1,-8.0764,4.1461,-12.2224,-0.1179
25,short,2026-03-14 05:30:00,1.39462102,2026-03-14 13:30:00,1.3945,TIME,96,0.8984,4.1412,-3.2428,-0.0313
26,long,2026-03-14 17:05:00,1.39357866,2026-03-15 01:05:00,1.4057,TIME,96,90.0223,4.1399,85.8824,0.8298
27,short,2026-03-15 16:00:00,1.41661662,2026-03-15 18:10:00,1.4185,SIGNAL,26,-13.8741,4.1743,-18.0484,-0.1729
28,long,2026-03-15 20:55:00,1.4179835399999998,2026-03-15 22:50:00,1.4605230461999998,TP,23,312.5283,4.167,308.3613,2.96
29,short,2026-03-16 09:25:00,1.46800634,2026-03-16 14:55:00,1.4973664668000002,SL,66,-214.5194,4.2904,-218.8098,-2.04
30,short,2026-03-17 22:55:00,1.5274944400000001,2026-03-18 06:20:00,1.5296,SIGNAL,89,-14.4835,4.2029,-18.6864,-0.1778
31,short,2026-03-18 06:45:00,1.524695,2026-03-18 12:30:00,1.4789541499999999,TP,69,314.6543,4.1954,310.4589,2.96
32,short,2026-03-18 19:25:00,1.45360922,2026-03-19 01:35:00,1.4636,SIGNAL,74,-74.222,4.3196,-78.5416,-0.7273
33,long,2026-03-20 08:00:00,1.45459086,2026-03-20 08:15:00,1.4612,FORCE,3,48.7096,4.2882,44.4215,0.4144
