trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
0,long,2026-02-18 10:10:00,1.48939782,2026-02-18 10:15:00,1.4863,SIGNAL,1,-20.7991,4.0,-24.7991,-0.248
1,short,2026-02-18 16:05:00,1.45830828,2026-02-18 19:30:00,1.4291421144,TP,41,199.504,3.9901,195.5139,1.96
2,long,2026-02-19 00:10:00,1.41858366,2026-02-19 02:40:00,1.4208,SIGNAL,30,15.8903,4.0683,11.822,0.1162
3,short,2026-02-19 04:25:00,1.42191556,2026-02-19 07:30:00,1.4361347156,SL,37,-101.8254,4.073,-105.8984,-1.04
4,long,2026-02-19 09:25:00,1.42488492,2026-02-19 10:05:00,1.4106360708,SL,8,-100.7664,4.0307,-104.797,-1.04
5,short,2026-02-19 19:40:00,1.4068185800000002,2026-02-19 19:50:00,1.411,SIGNAL,2,-29.6388,3.9887,-33.6276,-0.3372
6,long,2026-02-19 20:50:00,1.41188232,2026-02-19 22:40:00,1.3977634968,SL,22,-99.3821,3.9753,-103.3574,-1.04
7,short,2026-02-20 08:25:00,1.41731648,2026-02-20 08:50:00,1.4191,SIGNAL,5,-12.376,3.9339,-16.3099,-0.1658
8,long,2026-02-20 15:20:00,1.42168428,2026-02-20 19:20:00,1.4285,TIME,48,47.0713,3.9274,43.1438,0.4394
9,long,2026-02-21 01:05:00,1.4272854,2026-02-21 05:05:00,1.4279,TIME,48,4.2465,3.9447,0.3018,0.0031
10,short,2026-02-21 08:05:00,1.42761442,2026-02-21 09:20:00,1.4418905642000002,SL,15,-98.6199,3.9448,-102.5647,-1.04
11,long,2026-02-22 01:10:00,1.4281855799999998,2026-02-22 05:10:00,1.4198,TIME,48,-57.3024,3.9038,-61.2062,-0.6271
12,short,2026-02-23 16:35:00,1.36932608,2026-02-23 18:35:00,1.3731,SIGNAL,24,-26.7287,3.8793,-30.608,-0.3156
13,long,2026-02-24 00:35:00,1.3577715,2026-02-24 00:40:00,1.3557,SIGNAL,1,-14.7495,3.867,-18.6166,-0.1926
14,short,2026-02-24 01:05:00,1.3467306,2026-02-24 01:30:00,1.3601979060000002,SL,5,-96.49,3.8596,-100.3496,-1.04
15,short,2026-02-24 12:40:00,1.3310337399999999,2026-02-24 14:50:00,1.3443440774,SL,26,-95.4865,3.8195,-99.3059,-1.04
16,short,2026-02-26 09:00:00,1.43701254,2026-02-26 09:45:00,1.4513826654,SL,9,-94.4934,3.7797,-98.2731,-1.04
17,short,2026-02-26 11:50:00,1.43561282,2026-02-26 12:45:00,1.4428,SIGNAL,11,-46.8147,3.7404,-50.5551,-0.5406
18,long,2026-02-26 13:30:00,1.44368868,2026-02-26 14:45:00,1.4292517932,SL,15,-93.0051,3.7202,-96.7253,-1.04
19,long,2026-02-27 00:10:00,1.40108016,2026-02-27 01:05:00,1.3979,SIGNAL,11,-20.8907,3.6815,-24.5722,-0.267
20,short,2026-02-27 03:05:00,1.4004198600000002,2026-02-27 04:00:00,1.4144240586,SL,11,-91.7922,3.6717,-95.4638,-1.04
21,short,2026-02-27 07:40:00,1.4087182,2026-02-27 08:10:00,1.422805382,SL,6,-90.8375,3.6335,-94.471,-1.04
22,short,2026-02-28 01:30:00,1.35742846,2026-02-28 03:15:00,1.3602,SIGNAL,21,-18.3539,3.5957,-21.9496,-0.2442
23,short,2026-03-01 00:10:00,1.37642466,2026-03-01 01:45:00,1.3901889066000002,SL,19,-89.6733,3.5869,-93.2602,-1.04
24,short,2026-03-01 05:45:00,1.4128173800000001,2026-03-01 08:50:00,1.3845610324000002,TP,37,177.4814,3.5496,173.9318,1.96
25,long,2026-03-02 00:05:00,1.35687132,2026-03-02 04:05:00,1.3728,TIME,48,106.217,3.6192,102.5978,1.1339
26,long,2026-03-02 05:45:00,1.3680735599999998,2026-03-02 06:15:00,1.3543928243999999,SL,6,-91.506,3.6602,-95.1662,-1.04
27,long,2026-03-03 23:10:00,1.36537302,2026-03-04 01:10:00,1.3588,SIGNAL,24,-43.5936,3.6222,-47.2158,-0.5214
28,short,2026-03-04 01:50:00,1.3632273,2026-03-04 05:50:00,1.3592,TIME,48,26.6124,3.6033,23.0091,0.2554
29,long,2026-03-04 06:35:00,1.36007196,2026-03-04 08:45:00,1.3872733992,TP,26,180.6245,3.6125,177.0121,1.96
30,short,2026-03-05 01:20:00,1.42661462,2026-03-05 02:10:00,1.4269,SIGNAL,10,-1.842,3.6833,-5.5253,-0.06
31,short,2026-03-05 07:40:00,1.4162167,2026-03-05 09:35:00,1.4303788670000002,SL,23,-92.0271,3.6811,-95.7082,-1.04
32,short,2026-03-05 14:00:00,1.4289141600000002,2026-03-05 14:30:00,1.4338,SIGNAL,6,-31.1393,3.6428,-34.7821,-0.3819
33,long,2026-03-05 14:55:00,1.43768748,2026-03-05 15:05:00,1.4233106052,SL,2,-90.7222,3.6289,-94.3511,-1.04
34,long,2026-03-06 01:35:00,1.41238242,2026-03-06 04:40:00,1.3982585958,SL,37,-89.7787,3.5911,-93.3699,-1.04
35,long,2026-03-07 03:00:00,1.36897374,2026-03-07 07:00:00,1.3637,TIME,48,-34.226,3.5538,-37.7798,-0.4252
36,short,2026-03-07 09:00:00,1.36342726,2026-03-07 09:40:00,1.3668,SIGNAL,8,-21.8843,3.5387,-25.423,-0.2874
37,short,2026-03-08 02:20:00,1.35542886,2026-03-08 02:40:00,1.3556,SIGNAL,4,-1.1138,3.5285,-4.6423,-0.0526
38,short,2026-03-08 06:50:00,1.35192956,2026-03-08 09:15:00,1.3654488556000002,SL,29,-88.1666,3.5267,-91.6932,-1.04
39,long,2026-03-09 00:30:00,1.35367068,2026-03-09 02:05:00,1.3401339732,SL,19,-87.2496,3.49,-90.7396,-1.04
40,long,2026-03-09 02:45:00,1.34946984,2026-03-09 06:45:00,1.3461,TIME,48,-21.561,3.4537,-25.0147,-0.2897
41,long,2026-03-10 01:10:00,1.37047404,2026-03-10 05:10:00,1.386,TIME,48,97.5329,3.4437,94.0892,1.0929
42,long,2026-03-10 06:30:00,1.3823764200000002,2026-03-10 08:40:00,1.4100239484000001,TP,26,174.066,3.4813,170.5847,1.96
43,long,2026-03-10 13:10:00,1.39687932,2026-03-10 13:35:00,1.3829105268,SL,5,-88.7388,3.5496,-92.2884,-1.04
44,short,2026-03-10 14:10:00,1.38492296,2026-03-10 14:25:00,1.3987721895999998,SL,3,-87.816,3.5126,-91.3286,-1.04
45,long,2026-03-11 00:10:00,1.38687732,2026-03-11 00:30:00,1.3828,SIGNAL,4,-25.5488,3.4761,-29.0249,-0.334
46,short,2026-03-11 02:20:00,1.38502294,2026-03-11 06:20:00,1.3796,TIME,48,33.9124,3.4645,30.4479,0.3515
47,long,2026-03-11 12:50:00,1.38317658,2026-03-11 13:35:00,1.4108401116,TP,9,173.8338,3.4767,170.3571,1.96
48,long,2026-03-11 16:35:00,1.38787752,2026-03-11 20:35:00,1.3917,TIME,48,24.4078,3.5448,20.863,0.2354
49,short,2026-03-11 22:35:00,1.38752244,2026-03-12 02:35:00,1.3728,TIME,48,94.253,3.5532,90.6998,1.0211
50,long,2026-03-12 15:30:00,1.3783756200000001,2026-03-12 16:05:00,1.3727,SIGNAL,7,-36.9499,3.5894,-40.5393,-0.4518
51,long,2026-03-13 01:05:00,1.4150829600000001,2026-03-13 02:40:00,1.4009321304000002,SL,19,-89.3307,3.5732,-92.9039,-1.04
52,long,2026-03-13 04:40:00,1.4120823599999999,2026-03-13 05:10:00,1.4084,SIGNAL,6,-23.053,3.5361,-26.589,-0.3008
53,short,2026-03-14 04:55:00,1.39782038,2026-03-14 08:55:00,1.3934,TIME,48,27.8715,3.5254,24.3461,0.2762
