trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
0,long,2026-02-18 14:55:00,1.46569308,2026-02-18 18:40:00,1.4437076838,SL,45,-151.97,0.0,-151.97,-1.5197
1,short,2026-02-19 08:10:00,1.42611472,2026-02-19 12:10:00,1.4113,TIME,48,100.3538,0.0,100.3538,1.019
2,long,2026-02-23 18:00:00,1.3667733,2026-02-23 22:00:00,1.3655,TIME,48,-11.2558,0.0,-11.2558,-0.1131
3,long,2026-02-24 14:40:00,1.3307661,2026-02-24 18:40:00,1.3626,TIME,48,235.6759,0.0,235.6759,2.3717
4,long,2026-03-06 01:35:00,1.41238242,2026-03-06 05:35:00,1.394,TIME,48,-134.409,0.0,-134.409,-1.3213
5,long,2026-03-08 17:05:00,1.345269,2026-03-08 21:05:00,1.346,TIME,48,3.446,0.0,3.446,0.0343
6,long,2026-03-10 00:20:00,1.36797354,2026-03-10 04:20:00,1.3749,TIME,48,48.8263,0.0,48.8263,0.4862
7,long,2026-03-10 22:25:00,1.3859771399999998,2026-03-11 02:25:00,1.3855,TIME,48,-5.4913,0.0,-5.4913,-0.0544
8,short,2026-03-14 04:55:00,1.39782038,2026-03-14 08:55:00,1.3934,TIME,48,29.8821,0.0,29.8821,0.2963
9,long,2026-03-19 13:45:00,1.4530905600000001,2026-03-19 15:20:00,1.4312942016,SL,19,-153.7185,0.0,-153.7185,-1.5197
