trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
0,long,2026-02-18 09:10:00,1.48859766,2026-02-18 11:05:00,1.4737116834,SL,23,-101.98,0.0,-101.98,-1.0198
1,short,2026-02-18 13:55:00,1.4689061600000002,2026-02-18 15:35:00,1.4835952216000001,SL,20,-100.9796,0.0,-100.9796,-1.0202
2,short,2026-02-18 16:35:00,1.4606078200000001,2026-02-18 20:35:00,1.4307,TIME,48,198.6877,0.0,198.6877,2.028
3,short,2026-02-18 22:45:00,1.4227154,2026-02-19 02:45:00,1.4221,TIME,48,2.3254,0.0,2.3254,0.0233
4,long,2026-02-19 03:30:00,1.4259851399999999,2026-02-19 05:10:00,1.4117252885999998,SL,20,-101.9601,0.0,-101.9601,-1.0198
5,long,2026-02-19 06:50:00,1.42698534,2026-02-19 09:45:00,1.4162,SIGNAL,35,-76.7602,0.0,-76.7602,-0.7757
6,short,2026-02-19 10:25:00,1.41511692,2026-02-19 14:25:00,1.398,TIME,48,116.8322,0.0,116.8322,1.1898
7,short,2026-02-19 15:15:00,1.3942211000000002,2026-02-19 17:15:00,1.4081633110000003,SL,24,-101.3688,0.0,-101.3688,-1.0202
8,long,2026-02-19 20:50:00,1.41188232,2026-02-19 22:40:00,1.3977634968,SL,22,-100.2953,0.0,-100.2953,-1.0198
9,long,2026-02-20 00:05:00,1.40958186,2026-02-20 04:05:00,1.4097,TIME,48,-1.1312,0.0,-1.1312,-0.0116
10,short,2026-02-20 05:10:00,1.4077184,2026-02-20 05:30:00,1.421795584,SL,4,-99.2998,0.0,-99.2998,-1.0202
11,long,2026-02-20 06:20:00,1.4167833,2026-02-20 10:20:00,1.4238,TIME,48,45.7769,0.0,45.7769,0.4752
12,long,2026-02-20 15:50:00,1.42088412,2026-02-20 19:50:00,1.4232,TIME,48,13.8379,0.0,13.8379,0.143
13,long,2026-02-20 22:50:00,1.4279855399999999,2026-02-21 02:50:00,1.4306,TIME,48,15.8056,0.0,15.8056,0.1631
14,long,2026-02-21 05:05:00,1.4281855799999998,2026-02-21 09:05:00,1.4334,TIME,48,33.5011,0.0,33.5011,0.345
15,long,2026-02-21 10:25:00,1.44138822,2026-02-21 14:25:00,1.4572,TIME,48,104.909,0.0,104.909,1.0768
16,long,2026-02-21 15:45:00,1.45439082,2026-02-21 16:25:00,1.4398469118,SL,8,-100.4289,0.0,-100.4289,-1.0198
17,long,2026-02-21 19:40:00,1.4460891599999999,2026-02-21 21:40:00,1.4392,SIGNAL,24,-48.3771,0.0,-48.3771,-0.4963
18,short,2026-02-21 22:30:00,1.4367126000000001,2026-02-22 02:30:00,1.4288,TIME,48,51.488,0.0,51.488,0.5309
19,short,2026-02-22 03:15:00,1.4201159200000002,2026-02-22 07:15:00,1.4198,TIME,48,0.2194,0.0,0.2194,0.0023
20,short,2026-02-22 08:25:00,1.41951604,2026-02-22 12:25:00,1.4147,TIME,48,31.1383,0.0,31.1383,0.3193
21,short,2026-02-22 15:45:00,1.39392116,2026-02-22 19:45:00,1.3877,TIME,48,41.7098,0.0,41.7098,0.4264
22,short,2026-02-22 20:40:00,1.38332328,2026-02-22 22:20:00,1.3971565127999999,SL,20,-100.2209,0.0,-100.2209,-1.0202
23,short,2026-02-23 04:40:00,1.33663262,2026-02-23 06:05:00,1.3499989462000002,SL,17,-99.1984,0.0,-99.1984,-1.0202
24,long,2026-02-23 09:25:00,1.37647524,2026-02-23 13:25:00,1.4099,TIME,48,231.7323,0.0,231.7323,2.4078
25,short,2026-02-23 16:35:00,1.36932608,2026-02-23 20:35:00,1.3554,TIME,48,98.2842,0.0,98.2842,0.9972
26,short,2026-02-23 21:00:00,1.3536292200000002,2026-02-23 22:05:00,1.3671655122000002,SL,13,-101.5532,0.0,-101.5532,-1.0202
27,short,2026-02-23 22:55:00,1.35592876,2026-02-24 02:55:00,1.3482,TIME,48,54.2008,0.0,54.2008,0.5501
28,short,2026-02-24 05:40:00,1.3268345799999999,2026-02-24 09:40:00,1.3304,TIME,48,-28.6081,0.0,-28.6081,-0.2888
29,short,2026-02-24 14:05:00,1.32803434,2026-02-24 14:50:00,1.3413146834,SL,9,-100.7783,0.0,-100.7783,-1.0202
30,long,2026-02-24 16:45:00,1.35087012,2026-02-24 20:45:00,1.3578,TIME,48,48.1925,0.0,48.1925,0.4929
31,short,2026-02-25 05:15:00,1.3667266,2026-02-25 09:10:00,1.3803938660000001,SL,47,-100.2418,0.0,-100.2418,-1.0202
32,long,2026-02-25 11:25:00,1.3787757,2026-02-25 15:25:00,1.4323,TIME,48,375.5233,0.0,375.5233,3.8612
33,long,2026-02-25 21:10:00,1.46609316,2026-02-25 22:50:00,1.4514322284,SL,20,-103.0098,0.0,-103.0098,-1.0198
34,short,2026-02-26 00:40:00,1.4349129600000001,2026-02-26 04:10:00,1.4492620896000001,SL,42,-101.9993,0.0,-101.9993,-1.0202
35,long,2026-02-26 06:10:00,1.45119018,2026-02-26 07:30:00,1.4366782782,SL,16,-100.9191,0.0,-100.9191,-1.0198
36,short,2026-02-26 08:35:00,1.44141166,2026-02-26 10:10:00,1.4558257766,SL,19,-99.9291,0.0,-99.9291,-1.0202
37,short,2026-02-26 11:20:00,1.43901214,2026-02-26 15:20:00,1.417,TIME,48,146.3941,0.0,146.3941,1.51
