trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
0,long,2026-02-19 01:50:00,1.4264852399999999,2026-02-19 04:40:00,1.4193528137999998,SL,34,-51.99,0.0,-51.99,-0.5199
1,short,2026-02-19 12:40:00,1.40831828,2026-02-19 19:00:00,1.4153598714,SL,76,-51.7396,0.0,-51.7396,-0.5201
2,long,2026-02-19 21:30:00,1.41188232,2026-02-19 22:00:00,1.4048229084,SL,6,-51.4507,0.0,-51.4507,-0.5199
3,long,2026-02-20 02:25:00,1.42058406,2026-02-20 02:50:00,1.4191,SIGNAL,5,-12.2516,0.0,-12.2516,-0.1244
4,long,2026-02-21 06:05:00,1.4329865400000001,2026-02-21 14:05:00,1.4478,TIME,96,99.6571,0.0,99.6571,1.0135
5,long,2026-02-21 18:35:00,1.4480895599999999,2026-02-21 20:05:00,1.4408491121999998,SL,18,-51.6376,0.0,-51.6376,-0.5199
6,short,2026-02-22 19:25:00,1.38702254,2026-02-22 22:15:00,1.3939576527,SL,34,-51.3889,0.0,-51.3889,-0.5201
7,short,2026-02-23 04:30:00,1.34063182,2026-02-23 05:15:00,1.3473349791,SL,9,-51.1217,0.0,-51.1217,-0.5201
8,short,2026-02-24 05:30:00,1.33043386,2026-02-24 06:30:00,1.3370860293,SL,12,-50.8558,0.0,-50.8558,-0.5201
9,short,2026-02-24 07:20:00,1.32763442,2026-02-24 08:35:00,1.3342725921,SL,15,-50.5913,0.0,-50.5913,-0.5201
10,short,2026-02-25 03:40:00,1.36892616,2026-02-25 09:00:00,1.3757707907999999,SL,64,-50.3282,0.0,-50.3282,-0.5201
11,long,2026-02-25 11:35:00,1.3823764200000002,2026-02-25 13:35:00,1.4100239484000001,TP,24,190.5623,0.0,190.5623,1.9796
12,long,2026-02-25 21:10:00,1.46609316,2026-02-25 22:40:00,1.4587626942,SL,18,-51.0379,0.0,-51.0379,-0.5199
13,long,2026-02-26 09:15:00,1.44498894,2026-02-26 11:45:00,1.4377639953,SL,30,-50.7725,0.0,-50.7725,-0.5199
14,long,2026-02-26 13:35:00,1.4432886,2026-02-26 14:05:00,1.4360721570000001,SL,6,-50.5086,0.0,-50.5086,-0.5199
15,short,2026-02-26 21:00:00,1.3937211999999999,2026-02-26 22:35:00,1.4006898059999997,SL,19,-50.2653,0.0,-50.2653,-0.5201
16,short,2026-02-27 00:45:00,1.39932008,2026-02-27 01:35:00,1.4063166804,SL,10,-50.0039,0.0,-50.0039,-0.5201
17,long,2026-02-27 06:50:00,1.41348264,2026-02-27 07:35:00,1.4064152268,SL,9,-49.7247,0.0,-49.7247,-0.5199
18,short,2026-02-27 19:35:00,1.34943006,2026-02-27 20:05:00,1.3561772102999998,SL,6,-49.4852,0.0,-49.4852,-0.5201
19,short,2026-02-27 22:00:00,1.3502299,2026-02-27 23:40:00,1.3569810494999999,SL,20,-49.2278,0.0,-49.2278,-0.5201
20,long,2026-02-28 00:50:00,1.3620723599999998,2026-02-28 01:45:00,1.3596,SIGNAL,11,-18.9709,0.0,-18.9709,-0.2015
21,long,2026-02-28 02:30:00,1.3618723199999998,2026-02-28 03:35:00,1.3550629583999998,SL,13,-48.8543,0.0,-48.8543,-0.5199
22,short,2026-03-01 01:15:00,1.36732648,2026-03-01 01:20:00,1.3741631123999998,SL,1,-48.619,0.0,-48.619,-0.5201
23,short,2026-03-01 04:35:00,1.40991796,2026-03-01 05:00:00,1.4169675497999998,SL,5,-48.3661,0.0,-48.3661,-0.5201
24,long,2026-03-02 00:15:00,1.3574714399999999,2026-03-02 02:20:00,1.3613,SIGNAL,25,24.2358,0.0,24.2358,0.262
25,long,2026-03-02 03:10:00,1.37107416,2026-03-02 05:00:00,1.3642187892,SL,22,-48.2221,0.0,-48.2221,-0.5199
26,short,2026-03-03 01:30:00,1.3892221,2026-03-03 06:35:00,1.361437658,TP,61,182.7323,0.0,182.7323,1.9804
27,short,2026-03-03 19:35:00,1.36262742,2026-03-03 23:10:00,1.3694405570999997,SL,43,-48.9402,0.0,-48.9402,-0.5201
28,long,2026-03-04 13:25:00,1.40048004,2026-03-04 15:20:00,1.4284896407999998,TP,23,185.3071,0.0,185.3071,1.9796
29,short,2026-03-05 15:10:00,1.4218155799999999,2026-03-05 23:10:00,1.4053,TIME,96,108.9994,0.0,108.9994,1.1418
30,long,2026-03-06 00:25:00,1.405281,2026-03-06 01:25:00,1.398254595,SL,12,-50.1971,0.0,-50.1971,-0.5199
31,short,2026-03-06 03:45:00,1.40451904,2026-03-06 11:45:00,1.3958,TIME,96,57.717,0.0,57.717,0.6009
32,short,2026-03-07 00:00:00,1.3640271400000001,2026-03-07 03:10:00,1.3708472757,SL,38,-50.2555,0.0,-50.2555,-0.5201
33,long,2026-03-07 08:00:00,1.3687737,2026-03-07 09:30:00,1.3653,SIGNAL,18,-26.3121,0.0,-26.3121,-0.2737
34,long,2026-03-07 10:25:00,1.36637322,2026-03-07 14:00:00,1.3595413539,SL,43,-49.8381,0.0,-49.8381,-0.5199
35,short,2026-03-07 22:20:00,1.3536292200000002,2026-03-08 06:20:00,1.3502,TIME,96,22.2563,0.0,22.2563,0.2334
36,long,2026-03-09 00:45:00,1.35167028,2026-03-09 01:05:00,1.3449119286,SL,4,-49.6947,0.0,-49.6947,-0.5199
37,short,2026-03-09 05:30:00,1.34813032,2026-03-09 05:40:00,1.3548709716,SL,2,-49.4554,0.0,-49.4554,-0.5201
38,long,2026-03-10 07:25:00,1.38567708,2026-03-10 09:20:00,1.4133906216,TP,23,187.2575,0.0,187.2575,1.9796
