trade_id,direction,entry_time,entry_price,exit_time,exit_price,close_reason,hold_bars,gross_pnl,fee,net_pnl,pnl_pct
0,long,2026-02-18 10:10:00,1.48939782,2026-02-18 10:15:00,1.4863,SIGNAL,1,-20.7991,4.0,-24.7991,-0.248
1,short,2026-02-18 14:20:00,1.46360722,2026-02-18 22:20:00,1.4193,TIME,96,301.9754,3.9901,297.9853,2.9873
2,short,2026-02-19 02:45:00,1.4218155799999999,2026-02-19 09:20:00,1.4255,SIGNAL,79,-26.6214,4.1093,-30.7307,-0.2991
3,short,2026-02-19 09:55:00,1.41491696,2026-02-19 17:55:00,1.3961,TIME,96,136.2143,4.097,132.1173,1.2899
4,long,2026-02-19 21:00:00,1.41108216,2026-02-20 05:00:00,1.4109,TIME,96,-1.3393,4.1498,-5.4891,-0.0529
5,long,2026-02-20 10:10:00,1.4244848399999999,2026-02-20 13:05:00,1.3959951431999997,SL,35,-207.3817,4.1476,-211.5293,-2.04
6,long,2026-02-20 18:00:00,1.4301859799999999,2026-02-21 02:00:00,1.4297,TIME,96,-3.4516,4.063,-7.5146,-0.074
7,short,2026-02-21 08:05:00,1.42761442,2026-02-21 11:40:00,1.4449,SIGNAL,43,-122.8969,4.06,-126.9569,-1.2508
8,long,2026-02-21 13:25:00,1.43948784,2026-02-21 21:25:00,1.4402,TIME,96,4.9587,4.0092,0.9495,0.0095
9,long,2026-02-22 00:05:00,1.43398674,2026-02-22 00:20:00,1.4289,SIGNAL,3,-35.558,4.0096,-39.5676,-0.3947
10,short,2026-02-22 02:25:00,1.4262147,2026-02-22 10:25:00,1.4239,TIME,96,16.2045,3.9938,12.2107,0.1223
11,short,2026-02-22 12:05:00,1.4154168599999999,2026-02-22 20:05:00,1.3843,TIME,96,219.7693,3.9987,215.7706,2.1584
12,long,2026-02-24 01:35:00,1.3512701999999999,2026-02-24 03:00:00,1.3415,SIGNAL,17,-73.8399,4.085,-77.9249,-0.763
13,short,2026-02-24 07:05:00,1.3297340000000002,2026-02-24 14:45:00,1.3384,SIGNAL,92,-66.0476,4.0538,-70.1014,-0.6917
14,long,2026-02-25 00:45:00,1.3507701,2026-02-25 08:45:00,1.3695,TIME,96,139.5542,4.0258,135.5284,1.3466
15,long,2026-02-25 20:55:00,1.46459286,2026-02-25 23:30:00,1.4353010028,SL,31,-203.999,4.08,-208.0789,-2.04
16,short,2026-02-27 00:05:00,1.40291936,2026-02-27 03:55:00,1.4079,SIGNAL,46,-35.4731,3.9967,-39.4699,-0.395
17,long,2026-02-27 07:55:00,1.4172834,2026-02-27 10:50:00,1.388937732,SL,35,-199.048,3.981,-203.0289,-2.04
18,long,2026-02-28 02:40:00,1.36267248,2026-02-28 06:15:00,1.3354190304,SL,43,-194.9874,3.8997,-198.8872,-2.04
19,long,2026-02-28 18:00:00,1.32486492,2026-02-28 22:35:00,1.391108166,TP,55,477.5242,3.8202,473.704,4.96
20,short,2026-03-01 12:35:00,1.3722255,2026-03-01 14:05:00,1.3996700100000001,SL,18,-200.4837,4.0097,-204.4934,-2.04
21,long,2026-03-02 03:15:00,1.37247444,2026-03-02 07:05:00,1.3450249511999999,SL,46,-196.3939,3.9279,-200.3218,-2.04
22,long,2026-03-02 20:50:00,1.3984796400000001,2026-03-03 03:05:00,1.3705100472,SL,75,-192.3874,3.8477,-196.2352,-2.04
23,short,2026-03-03 14:45:00,1.34043186,2026-03-03 16:00:00,1.3672404972,SL,15,-188.4627,3.7693,-192.232,-2.04
24,long,2026-03-03 18:20:00,1.37097414,2026-03-04 01:10:00,1.3588,SIGNAL,82,-81.9697,3.6924,-85.6621,-0.928
25,short,2026-03-04 02:15:00,1.36012792,2026-03-04 06:35:00,1.3598,SIGNAL,52,2.2049,3.6581,-1.4532,-0.0159
26,short,2026-03-05 01:45:00,1.41991596,2026-03-05 09:45:00,1.429,TIME,96,-58.4982,3.6575,-62.1557,-0.6798
